,title,catalog_product_id,site_id,category_id,domain_id,thumbnail,brand,package_length,package_weight,semantic_string
493,Dispensador De Agua Mabe Emm2p 19l Negro 127v,MLM11381158,MLM,MLM187752,MLM-SMART_SPEAKERS,http://http2.mlstatic.com/D_615440-MLU73841644557_012024-I.jpg,Mabe,,,Dispensador De Agua Mabe Emm2p 19l Negro 127v Mabe  
494,Audífonos Inalámbricos Shokz Open Move Bluetooth Induccion Color Negro,MLM24035744,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_638665-MLU73886138573_012024-I.jpg,AfterShokz,29 cm,280 g,Audífonos Inalámbricos Shokz Open Move Bluetooth Induccion Color Negro AfterShokz 29 cm 280 g
495,Divisor De Audio Estéreo 3.5 Mm Para Micrófono Y Audifonos,MLM26902908,MLM,MLM38981,MLM-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS,http://http2.mlstatic.com/D_733477-MLU74126730195_012024-I.jpg,Compra y Más,,,Divisor De Audio Estéreo 3.5 Mm Para Micrófono Y Audifonos Compra y Más  
496,Bocinas Multimedia 5.1c Teatro En Casa Bluetooth Fm Usb Aux Color Negro,MLM19560034,MLM,MLM59800,MLM-SPEAKERS,http://http2.mlstatic.com/D_769762-MLM74225010171_012024-I.jpg,Mitzu,,,Bocinas Multimedia 5.1c Teatro En Casa Bluetooth Fm Usb Aux Color Negro Mitzu  
497,"Headset Alámbrico Tx40 Voltedge Universal Xbox, Ps, Switch Color Marrón",MLM22624598,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_848507-MLM45690775158_042021-I.jpg,VoltEdge,21 cm,370 g,"Headset Alámbrico Tx40 Voltedge Universal Xbox, Ps, Switch Color Marrón VoltEdge 21 cm 370 g"
498,Cable Hdmi 1.5 Metros Full Hd 1080p Ps3 Xbox 360 Laptop Tv ,MLM21303411,MLM,MLM190072,MLM-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS,http://http2.mlstatic.com/D_876635-MLU73836725032_012024-I.jpg,Transhine,16.6 cm,80 g,Cable Hdmi 1.5 Metros Full Hd 1080p Ps3 Xbox 360 Laptop Tv  Transhine 16.6 cm 80 g
499,Amazon Echo Pop Con Asistente Virtual Alexa Color Negro 2023,MLM23995387,MLM,MLM187752,MLM-SMART_SPEAKERS,http://http2.mlstatic.com/D_927162-MLM70970465638_082023-I.jpg,Amazon,,,Amazon Echo Pop Con Asistente Virtual Alexa Color Negro 2023 Amazon  
500,Audifonos Orejas De Gato Bluetooths 5.1 Led Diadema Ninos,-8241738938308739017,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_991805-MLM71851686712_092023-I.jpg,FUBO,,,Audifonos Orejas De Gato Bluetooths 5.1 Led Diadema Ninos FUBO  
501,Parlantes Inalámbricos De Alta Potencia Srs-xv900 Color Negro,MLM25567930,MLM,MLM59800,MLM-SPEAKERS,http://http2.mlstatic.com/D_998402-MLU70812743545_082023-I.jpg,Sony,,,Parlantes Inalámbricos De Alta Potencia Srs-xv900 Color Negro Sony  
502,Smart Tv Hisense H4 Series 43h4030f3 Lcd Roku Os Full Hd 43  120v,MLM17794951,MLM,MLM1002,MLM-TELEVISIONS,http://http2.mlstatic.com/D_920349-MLU74112998826_012024-I.jpg,Hisense,14 cm,9160 g,Smart Tv Hisense H4 Series 43h4030f3 Lcd Roku Os Full Hd 43  120v Hisense 14 cm 9160 g
